File,Model,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
gp_mix-20-2_data.csv,GENIE3,0.5428888524711004,43.0,33.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,False,False,False,True,True,True,True,True,True
gp_mix-20-8_data.csv,GENIE3,0.4189113081045312,48.0,46.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,False,False,False,False,True,True,True,True,True
gp_mix-20-7_data.csv,GENIE3,0.5688022234644945,45.0,44.0,45.0,45.0,47.0,48.0,48.0,48.0,48.0,False,False,True,True,True,True,True,True,True
gp_mix-20-6_data.csv,GENIE3,0.3851119140257488,54.0,37.0,35.0,34.0,35.0,36.0,36.0,36.0,36.0,False,False,False,False,True,True,True,True,True
gp_mix-20-4_data.csv,GENIE3,0.49633057961600335,44.0,34.0,34.0,36.0,37.0,37.0,37.0,37.0,37.0,False,False,True,True,True,True,True,True,True
gp_mix-20-3_data.csv,GENIE3,0.5281649306025111,38.0,41.0,41.0,44.0,43.0,44.0,44.0,44.0,44.0,False,False,False,False,True,True,True,True,True
gp_mix-20-1_data.csv,GENIE3,0.3655105488033509,56.0,34.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,False,False,True,True,True,True,True,True,True
gp_mix-20-0_data.csv,GENIE3,0.35009659250129255,49.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,False,False,False,True,True,True,True,True,True
gp_mix-20-9_data.csv,GENIE3,0.44659328344463434,46.0,37.0,37.0,34.0,37.0,37.0,37.0,37.0,37.0,False,False,False,True,True,True,True,True,True
gp_mix-20-5_data.csv,GENIE3,0.538963627334846,55.0,47.0,48.0,51.0,52.0,52.0,52.0,52.0,52.0,False,False,True,True,True,True,True,True,True
